colName,betaDiff?,zeroCDF_hat,2-side p-value_hat,2-side LB_hat (<= 0.025),2-side UB_hat (>= 0.975),2-side failToReject,1-side p-value_hat,1-side LB_hat (<= 0.05),1-side failToReject
Stacked_Area_Chart&find_correlations_trends&reVLAT_VizChoices,False,1.0,0.0,-0.7984924048053137,-0.6292866293786762,False,1.0,-0.7856720857968682,True
Stacked_Area_Chart&find_correlations_trends&reVLAT_NoVizChoices,False,1.0,0.0,-0.23076263557505608,-0.10286018260770041,False,1.0,-0.22009484475750235,True
Stacked_Area_Chart&make_comparisons&reVLAT_VizChoices,False,1.0,0.0,-0.2990543869668746,-0.1865833306878898,False,1.0,-0.2885223491403909,True
Stacked_Area_Chart&make_comparisons&reVLAT_NoVizChoices,True,2.831069449795521e-15,5.662138899591042e-15,0.19536581479721418,0.32357150555669584,False,2.831069449795521e-15,0.20531200545860992,False
Choropleth_Map&reVLAT_VizChoices&retrieve_value,False,0.977,0.04600000000000004,-2.7207460519946127e-06,-1.0493275860815131e-08,False,0.977,-1.9587437305727578e-06,True
Choropleth_Map&reVLAT_NoVizChoices&retrieve_value,False,1.0,0.0,-0.13711688361081611,-0.03892071160427713,False,1.0,-0.12612406360952397,True
Choropleth_Map&find_extremum&reVLAT_VizChoices,False,0.0,0.0,0.11976341016170478,0.3121349240134481,False,0.0,0.13933528661296057,False
Choropleth_Map&find_extremum&reVLAT_NoVizChoices,True,5.946377641698909e-14,1.1892755283397819e-13,0.33402888231089345,0.5409191308179525,False,5.946377641698909e-14,0.3515610057622456,False
Choropleth_Map&make_comparisons&reVLAT_VizChoices,False,0.0,0.0,0.7230950979304952,0.8677665686097351,False,0.0,0.73451811104267,False
Choropleth_Map&make_comparisons&reVLAT_NoVizChoices,False,0.0,0.0,0.4636076054293849,0.6582176660627267,False,0.0,0.4841227490997712,False
Treemap&find_extremum&reVLAT_VizChoices,False,0.363,0.726,-6.782013582880109e-06,0.02747132588634966,True,0.363,-4.307774884164858e-06,True
Treemap&find_extremum&reVLAT_NoVizChoices,False,0.77,0.45999999999999996,-0.027798700750751044,2.281858999965344e-06,True,0.77,-0.02494318467770529,True
Treemap&make_comparisons&reVLAT_VizChoices,False,1.0,0.0,-0.5926591867656429,-0.40278525016187683,False,1.0,-0.5777729467682375,True
Treemap&make_comparisons&reVLAT_NoVizChoices,True,1.000000000875032,-1.7500640936418677e-09,-0.5465536856961537,-0.32985777960352525,False,1.000000000875032,-0.5301452274568,True
Treemap&identify_the_hierarchical_structure&reVLAT_VizChoices,False,0.0,0.0,0.9999860726171687,0.9999997441799134,False,0.0,0.9999887952354055,False
Treemap&identify_the_hierarchical_structure&reVLAT_NoVizChoices,True,1.2918615469812968e-18,2.5837230939625936e-18,0.4444650751454406,0.6576235039786077,False,1.2918615469812968e-18,0.46330301557022474,False
